import time: self [us] | cumulative | imported package
import time:       355 |        355 |   _io
import time:        45 |         45 |   marshal
import time:       301 |        301 |   posix
import time:       342 |       1041 | _frozen_importlib_external
import time:       669 |        669 |   time
import time:       121 |        789 | zipimport
import time:       128 |        128 |     _codecs
import time:       218 |        346 |   codecs
import time:       877 |        877 |   encodings.aliases
import time:      1163 |       2384 | encodings
import time:       458 |        458 | encodings.utf_8
import time:       138 |        138 | _signal
import time:        33 |         33 |     _abc
import time:       140 |        173 |   abc
import time:       179 |        352 | io
import time:        43 |         43 |       _stat
import time:        57 |         99 |     stat
import time:       790 |        790 |     _collections_abc
import time:        34 |         34 |       genericpath
import time:        58 |         91 |     posixpath
import time:       298 |       1278 |   os
import time:        61 |         61 |   _sitebuiltins
import time:       427 |        427 |     __future__
import time:       472 |        472 |         warnings
import time:       354 |        825 |       importlib
import time:        52 |        876 |     importlib.machinery
import time:       723 |        723 |       importlib._abc
import time:       113 |        113 |             itertools
import time:       270 |        270 |             keyword
import time:        58 |         58 |               _operator
import time:       717 |        774 |             operator
import time:       310 |        310 |             reprlib
import time:        63 |         63 |             _collections
import time:       901 |       2429 |           collections
import time:       494 |        494 |           types
import time:        52 |         52 |           _functools
import time:       754 |       3728 |         functools
import time:       346 |        346 |         _weakrefset
import time:       708 |       4780 |       threading
import time:        96 |       5599 |     importlib.util
import time:      1578 |       1578 |           enum
import time:       148 |        148 |             _sre
import time:       450 |        450 |               re._constants
import time:      1161 |       1610 |             re._parser
import time:       284 |        284 |             re._casefix
import time:       687 |       2728 |           re._compiler
import time:       308 |        308 |           copyreg
import time:       801 |       5413 |         re
import time:       394 |       5806 |       fnmatch
import time:        59 |         59 |         _winapi
import time:       120 |        120 |         nt
import time:        38 |         38 |         nt
import time:        34 |         34 |         nt
import time:        34 |         34 |         nt
import time:        32 |         32 |         nt
import time:        33 |         33 |         nt
import time:        87 |        434 |       ntpath
import time:        50 |         50 |       errno
import time:       246 |        246 |         urllib
import time:        60 |         60 |         math
import time:      1793 |       1793 |         ipaddress
import time:      1237 |       3334 |       urllib.parse
import time:       768 |      10390 |     pathlib
import time:       853 |      18144 |   __editable___stripe_12_0_0_finder
import time:        57 |         57 |   sitecustomize
import time:      1331 |      20869 | site
import time:       499 |        499 |     collections.abc
import time:       587 |        587 |     contextlib
import time:       866 |        866 |         _ast
import time:      1070 |       1935 |       ast
import time:        32 |         32 |           _opcode
import time:       516 |        548 |         opcode
import time:       878 |       1425 |       dis
import time:       274 |        274 |           token
import time:        28 |         28 |           _tokenize
import time:       829 |       1130 |         tokenize
import time:       285 |       1414 |       linecache
import time:      1753 |       6526 |     inspect
import time:        38 |         38 |       _typing
import time:      2043 |       2081 |     typing
import time:       160 |        160 |     _socket
import time:      2973 |      12823 |   typing_extensions
import time:       640 |        640 |   stripe._api_version
import time:        37 |         37 |           _json
import time:       484 |        521 |         json.scanner
import time:       714 |       1234 |       json.decoder
import time:       406 |        406 |       json.encoder
import time:       270 |       1910 |     json
import time:        50 |         50 |       _wmi
import time:       503 |        553 |     platform
import time:        25 |         25 |       _uuid
import time:       413 |        437 |     uuid
import time:      1396 |       1396 |         _hashlib
import time:        33 |         33 |           _blake2
import time:       299 |        332 |         hashlib
import time:       401 |       2128 |       hmac
import time:       757 |        757 |           textwrap
import time:       608 |       1365 |         traceback
import time:       405 |        405 |         weakref
import time:       559 |        559 |           _string
import time:       486 |       1045 |         string
import time:        25 |         25 |         atexit
import time:      1263 |       4100 |       logging
import time:       270 |        270 |       stripe._api_mode
import time:       563 |       7061 |     stripe._util
import time:       400 |        400 |     stripe._version
import time:       148 |        148 |             _datetime
import time:       193 |        340 |           datetime
import time:       251 |        251 |           copy
import time:       252 |        252 |           stripe._stripe_response
import time:        44 |         44 |                 _locale
import time:       968 |       1011 |               locale
import time:       698 |       1709 |             calendar
import time:       232 |       1940 |           stripe._encode
import time:       257 |        257 |               stripe._base_address
